Date,Product Category,Product Name,Region,Sales Revenue (USD),Units Sold,Customer Segment,Customer Type,Customer Satisfaction,Marketing Spend (USD),Discount Percentage (%),Competitor Influence,Return Rate (%),AI/ML Adoption Rate (%),Ad Campaign Effectiveness,Customer Retention Rate (%),Product Launch Date,Competitor Product,Market Share (%)
2006-08-17,Data Center,Tesla V100,Africa,1735904.02,4375,Cloud Providers,Business,4.1,150413.75,14.0,Medium,0.44,62.0,0.12,74.0,2005-12-14,AMD Radeon RX 6800,35.04
2013-12-28,Gaming,Quadro P2200,Europe,535510.4,2453,Gamers,Business,3.8,156316.26,17.0,Low,4.01,55.0,0.2,52.0,1997-05-22,Google TPU,65.46
2006-06-03,Gaming,Tesla V100,Middle East,1813351.17,1129,Gamers,Individual,1.9,191757.33,20.0,High,1.26,72.0,0.3,67.0,2017-11-08,AMD Radeon RX 6800,64.32
2008-01-19,Data Center,Quadro P2200,Europe,269357.72,4110,Cloud Providers,Individual,3.5,39383.18,17.0,Low,0.58,65.0,0.1,69.0,1997-10-28,AMD Radeon RX 7900,40.36
2014-10-15,AI,Tesla V100,North America,768666.94,917,Cloud Providers,Individual,2.9,150980.04,19.0,Medium,3.23,39.0,0.13,87.0,1997-09-13,AMD Radeon RX 6800,48.37
2006-12-06,Gaming,Tesla T4,Europe,1833568.34,2654,AI Researchers,Business,1.5,70072.66,10.0,Low,0.43,32.0,0.24,81.0,2002-02-18,AMD Radeon RX 6800,65.37
1998-03-14,Gaming,RTX 4090,North America,1993825.92,1638,Gamers,Business,2.1,36915.07,5.0,Medium,4.41,67.0,0.18,62.0,2013-01-15,AMD Radeon RX 7900,54.85
2010-09-07,OEM,RTX 4090,APAC,1251602.74,977,Educational Institutions,Individual,3.6,34177.36,2.0,Low,1.3,32.0,0.22,72.0,2022-05-09,Intel Xeon,48.93
1998-10-25,AI,Quadro P2200,Middle East,1322576.63,3386,Gamers,Individual,2.1,73158.73,4.0,Medium,0.78,22.0,0.07,88.0,2009-09-01,Google TPU,38.43
1994-07-18,Gaming,Tesla T4,Africa,1136189.92,4935,Cloud Providers,Business,1.1,105328.13,4.0,High,0.76,46.0,0.2,76.0,2016-12-22,AMD Radeon RX 6800,49.15
2016-03-22,Data Center,Tesla V100,Europe,737815.54,1684,Gamers,Business,3.0,170214.33,20.0,High,4.77,62.0,0.2,81.0,2008-08-25,AMD Radeon RX 6800,66.18
2024-05-04,Data Center,Tesla T4,Middle East,887527.98,978,AI Researchers,Individual,5.0,119782.38,5.0,High,2.36,41.0,0.22,80.0,2023-11-17,AMD Radeon RX 7900,44.59
2024-03-16,Gaming,RTX 4090,Africa,366085.4,1915,AI Researchers,Individual,4.4,102851.39,3.0,Medium,3.02,48.0,0.24,52.0,2010-03-21,Google TPU,53.33
2013-10-04,AI,RTX 4090,Middle East,561365.78,4747,Gamers,Business,3.0,99857.97,25.0,Medium,3.3,61.0,0.14,56.0,2008-05-01,AMD Radeon RX 7900,67.45
2024-03-18,AI,Tesla V100,APAC,1456737.14,1030,Gamers,Individual,2.7,48795.53,12.0,Low,2.9,20.0,0.29,75.0,1999-07-12,AMD Radeon RX 7900,33.62
1997-02-06,OEM,Quadro P2200,Africa,815124.76,4032,Gamers,Business,4.4,94479.03,4.0,Low,4.69,66.0,0.05,84.0,2001-11-07,Google TPU,69.77
2009-12-13,AI,RTX 4090,North America,172468.64,1544,Educational Institutions,Individual,1.6,111812.29,13.0,Medium,3.21,68.0,0.24,90.0,2013-09-26,Google TPU,57.54
2019-05-09,Data Center,Quadro P2200,North America,1564347.65,1788,Educational Institutions,Business,4.8,37579.37,1.0,Low,4.59,89.0,0.12,70.0,2000-05-09,Google TPU,48.98
2022-04-02,Data Center,Tesla T4,Africa,781652.44,964,Educational Institutions,Individual,1.3,156427.6,3.0,Medium,4.92,90.0,0.12,64.0,2022-02-05,AMD Radeon RX 6800,62.27
2012-07-21,Gaming,Tesla T4,APAC,173609.92,2567,Cloud Providers,Individual,1.0,129242.97,19.0,Low,4.18,89.0,0.19,55.0,2015-01-02,Google TPU,53.0
2019-12-11,AI,RTX 4090,Europe,1806015.68,1754,Gamers,Business,2.7,169145.21,14.0,Medium,2.73,24.0,0.13,59.0,2005-09-30,AMD Radeon RX 6800,50.94
2010-12-03,OEM,Tesla T4,North America,1625505.6,3536,Cloud Providers,Individual,3.2,45048.21,22.0,Low,1.11,90.0,0.22,57.0,2007-06-09,Intel Xeon,42.26
1994-07-23,Gaming,RTX 3080,Africa,1013808.47,2010,Gamers,Business,3.1,85843.06,0.0,High,1.48,23.0,0.2,56.0,1995-06-27,AMD Radeon RX 6800,33.52
2011-04-06,OEM,Tesla T4,Europe,388745.35,1150,AI Researchers,Business,3.9,194713.65,7.0,High,1.56,56.0,0.21,87.0,2014-02-18,AMD Radeon RX 6800,53.11
2015-03-01,OEM,RTX 3080,Africa,1322345.73,280,Gamers,Business,2.9,115549.95,0.0,High,1.88,35.0,0.23,53.0,2004-07-19,AMD Radeon RX 6800,38.25
2013-12-02,Data Center,Quadro P2200,Europe,1172569.67,4343,Cloud Providers,Individual,2.9,12561.94,22.0,High,0.83,55.0,0.09,53.0,2010-01-20,Intel Xeon,63.16
1993-11-19,AI,Quadro P2200,APAC,998742.3,3970,AI Researchers,Individual,2.5,111353.17,10.0,Medium,0.7,15.0,0.06,64.0,2018-05-13,AMD Radeon RX 7900,30.81
2024-08-05,OEM,RTX 4090,Europe,64613.48,2402,Educational Institutions,Business,3.7,27891.61,2.0,Low,1.2,41.0,0.1,61.0,2014-10-31,AMD Radeon RX 6800,53.32
1996-12-30,Data Center,Tesla V100,Middle East,1947527.51,4557,Educational Institutions,Business,2.7,155701.81,17.0,Low,4.04,26.0,0.08,90.0,2022-01-16,Intel Xeon,56.73
2018-07-21,OEM,RTX 3080,Middle East,662228.53,4129,AI Researchers,Business,4.2,175694.15,13.0,High,2.21,59.0,0.25,80.0,2013-07-30,Intel Xeon,60.98
2011-04-26,Gaming,Tesla T4,South America,1514799.75,2748,Educational Institutions,Business,1.7,120112.19,7.0,Medium,1.19,17.0,0.16,85.0,2012-01-27,Google TPU,32.61
2011-03-09,OEM,Tesla T4,Africa,1553633.61,726,Cloud Providers,Business,4.0,97960.97,12.0,High,0.79,20.0,0.24,70.0,1997-08-30,AMD Radeon RX 6800,43.84
1994-04-19,OEM,RTX 3080,North America,373951.65,2192,Cloud Providers,Business,1.3,196352.49,15.0,Low,3.74,24.0,0.19,65.0,2019-09-13,AMD Radeon RX 7900,69.7
2013-07-31,Data Center,Quadro P2200,South America,1413885.42,2543,AI Researchers,Individual,4.1,79452.39,6.0,Low,1.5,23.0,0.18,88.0,2021-05-23,Google TPU,54.54
1999-07-29,Gaming,Tesla T4,Middle East,845441.56,3248,Gamers,Business,3.7,86922.0,9.0,High,0.93,19.0,0.23,78.0,1996-11-20,AMD Radeon RX 7900,53.79
2017-11-07,OEM,RTX 4090,South America,1043863.06,832,AI Researchers,Individual,3.3,155649.31,7.0,Low,0.35,45.0,0.27,80.0,2007-11-09,Google TPU,53.37
2020-05-25,Gaming,Tesla V100,South America,1777326.32,4589,Gamers,Business,2.6,126620.41,18.0,Low,1.62,82.0,0.13,65.0,1995-06-01,AMD Radeon RX 6800,41.66
1997-06-02,Data Center,Tesla V100,APAC,253102.87,3957,AI Researchers,Business,4.7,138853.9,9.0,Low,2.96,43.0,0.08,81.0,2013-07-16,AMD Radeon RX 6800,41.02
2001-02-16,Gaming,RTX 4090,Europe,948858.3,1105,Gamers,Business,1.4,168881.36,19.0,Low,0.69,45.0,0.19,56.0,2007-02-17,Google TPU,56.23
2019-06-17,OEM,Tesla T4,South America,810711.98,1009,Gamers,Business,4.6,149309.73,0.0,Low,3.32,75.0,0.28,85.0,2005-02-24,AMD Radeon RX 6800,37.37
1993-12-27,OEM,Tesla T4,North America,80980.04,2596,Educational Institutions,Individual,1.5,62909.17,7.0,Medium,0.86,79.0,0.22,74.0,2023-04-23,AMD Radeon RX 7900,31.34
2019-06-09,Gaming,Tesla T4,South America,830653.06,4994,Educational Institutions,Business,3.6,67103.23,2.0,Low,3.66,41.0,0.22,82.0,1997-12-18,AMD Radeon RX 7900,31.87
2015-08-23,AI,Quadro P2200,APAC,1383863.69,2922,Cloud Providers,Business,2.4,86030.52,7.0,High,2.32,45.0,0.28,83.0,1994-11-30,Intel Xeon,38.75
2021-08-25,Gaming,RTX 4090,South America,457241.85,1537,Gamers,Individual,2.0,146024.43,3.0,Medium,4.62,82.0,0.28,87.0,2009-01-21,Google TPU,42.77
2009-01-19,Data Center,Tesla V100,North America,1336452.3,4842,Educational Institutions,Business,1.9,15180.72,6.0,High,1.32,51.0,0.09,61.0,2019-09-12,Google TPU,38.69
2012-02-03,AI,RTX 4090,Africa,1200636.47,1090,Cloud Providers,Individual,1.0,188900.18,6.0,Low,1.8,17.0,0.23,88.0,1998-01-18,AMD Radeon RX 6800,31.08
1998-12-03,OEM,Quadro P2200,Europe,1763044.98,314,Cloud Providers,Individual,3.1,93231.17,23.0,Low,0.6,84.0,0.06,87.0,2013-03-16,AMD Radeon RX 7900,68.7
1997-05-09,Gaming,Tesla T4,North America,1574727.75,1857,Cloud Providers,Individual,4.1,64805.44,16.0,High,4.86,87.0,0.1,78.0,2024-04-05,Intel Xeon,68.18
2006-02-21,Gaming,Tesla T4,North America,1970812.13,638,Gamers,Business,1.4,67935.21,10.0,High,4.45,38.0,0.1,65.0,2021-07-26,AMD Radeon RX 6800,45.16
2023-02-23,AI,RTX 4090,Europe,1072059.83,1254,Educational Institutions,Business,3.9,11548.36,22.0,Low,3.24,48.0,0.25,79.0,2017-11-11,Intel Xeon,69.52
2021-08-06,Data Center,RTX 3080,Africa,746097.43,4695,AI Researchers,Business,3.9,147637.21,12.0,Medium,3.59,52.0,0.23,55.0,2020-12-07,Google TPU,40.4
2007-12-27,Data Center,RTX 4090,South America,859540.55,2540,Cloud Providers,Business,4.6,75254.18,21.0,Medium,2.97,73.0,0.19,59.0,2009-01-18,AMD Radeon RX 6800,68.13
2013-11-29,OEM,RTX 3080,Africa,1442454.99,2779,Educational Institutions,Business,3.8,180308.75,17.0,Low,3.2,53.0,0.16,89.0,2001-02-04,AMD Radeon RX 6800,36.74
2011-04-29,OEM,RTX 3080,Middle East,802079.82,2391,Gamers,Business,3.6,67005.92,5.0,Low,2.69,87.0,0.1,78.0,2013-09-10,AMD Radeon RX 7900,67.28
2020-05-20,Data Center,RTX 4090,North America,1407347.61,4432,AI Researchers,Business,4.2,15096.72,4.0,High,0.2,34.0,0.22,76.0,2000-03-04,Google TPU,30.72
2015-02-04,OEM,Tesla T4,South America,1207494.18,3157,Gamers,Business,3.8,183089.67,10.0,Medium,4.16,39.0,0.3,63.0,2006-10-24,AMD Radeon RX 7900,69.42
